ID_POSTULANTE,INSTITUCION
FA15D3B256958C4114EB277AC66CCD21,I. E. SAGRADO CORAZÓN DE JESÚS 
7841CE29C6D60077D32C3A0BB4ABE78B,CEPEBAN
B508F52879EBE84B822D508D7E92062B,PEDRO A. LABARTHE
B3FF4AA21D3200437D0AEBCF76D7E579,JOSÉ MARÍA ARGUEDAS  AREQUIPA 
B0388AE5DECE914C2C453358D21E9C4E,
75DD575F922C7A3C3222A1B1BC4657A7,CETPRO CITEP SMAS HUANUCO
963FD973FC3AA5D45EBCA69E9A32E580,
80900CF8F16632A0957F1342A6DCAA97,ANTONIO RUIZ DE MONTOYA
7235A72D479207394F780D3A2E38B7F0,INCA GARCILASO DE LA VEGA
5EB24403C2472635CF6C6592DA6C9859,
F5F04FA43AB060449AD2FB2237CB4AFF,
F5F04FA43AB060449AD2FB2237CB4AFF,SENATI
58F8BC35CB0D2623ED4720711C3FA696,
59EBBE6D26E752553BE759AC2CAD1AAE,TR
59EBBE6D26E752553BE759AC2CAD1AAE,JUAN JACOBO RUSSEAU
041FB02A80FA579DD5B86E9BF8F66FC2,EMILIANO PISCULICHS 
CED26CB48DF46EE9C81475F5532D6097,CEPEBAN
20F46434C24AF425527E9C1E173A0D3C,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS
EC62FDD9022615B0CAF5CFAF625E675A,NUESTRA SEÑORA DEL COPACABANA
0E8A30E01E7110116B3BBC33C988E3E8,C.E REPÚBLICA DE VENEZUELA 
28B712BDB024F5896F1177191758501E,ELVIRA GARCÍA
71D36D718767043DC1410644A27765A6,SAN  LUIS GONZAGA
53961E8DDD3BEAA40CA3F7E44F2EA623,UNIVERSIDAD GARCILASO 
86637411133A9BF2F756D708B02BFDA4,.
D0BE4E8E1796B3BA1B5B1C9465D28A8B,COLEGIO BUANBO
8AF7625808814647E0F31AC454AE3DAA,UNAP
8004CB64887D2B907B64C0BE6E7A43E4,UNIVERSIDAD NACIONAL EXPERIMENTAL DE LOS LLANOS OCCIDENTALES EZEQUIEL ZAMORA - UNELLEZ
8004CB64887D2B907B64C0BE6E7A43E4,
3D614ADD920BF4B7F451E48409A3CC4F,C.E.N.E. MONTE CARMELO
